순위,영화명,변동폭
1,사바하,-7
2,증인,0
3,극한직업,0
4,알리타: 배틀 엔젤,0
5,콜드 체이싱,0
6,자전차왕 엄복동,0
7,뺑반,+1
8,그린 북,-1
9,더 페이버릿: 여왕의 여자,+1
10,해피 데스데이 2 유,+2
11,신데렐라:마법 반지의 비밀,-2
12,캡틴 마블,-1
13,항거:유관순 이야기,+1
14,기묘한 가족,+3
15,크리드 2,-2
16,메리 포핀스 리턴즈,0
17,"어쩌다, 결혼",-2
18,드래곤 길들이기 3,+3
19,스파이더맨: 뉴 유니버스,-1
20,어스,0
21,로드킬,-2
22,살인마 잭의 집,+2
23,가버나움,-1
24,빠삐용,-1
25,보헤미안 랩소디,+3
26,말모이,0
27,어벤져스: 엔드게임,-2
28,엽문 외전,-1
29,돈,0
30,포항,0
31,악질경찰,0
32,우상,0
33,칠곡 가시나들,0
34,더 와이프,0
35,로마,+2
36,내안의 그놈,+3
37,0.0MHz,-1
38,타임 워프 워,+4
39,검은 사제들,-1
40,포제션 오브 한나 그레이스,+1
41,퍼미션,+2
42,어느 가족,+4
43,드래곤볼 슈퍼: 브로리,-3
44,모험왕 블링키,-9
45,유랑지구,+2
46,겟 아웃,+4
47,버닝,+1
48,명탐정 코난:전율의 악보,+3
49,곤지암,-5
50,극장판 헬로카봇:옴파로스 섬의 비밀,+4
